Q1,Q2,MRK_Age,Age_groups,Q3,Q3r5oe,Q4,State,Region,States_Division,Q5a,QS5br1,QS5br2,QS5br3,QS5br4,QS5br5,QS5br6,QS5br6oe,Q5_a__1,Q5_b__1,Q5_c__1,Q5_d__1,Q6,Vir_Q7r1,Vir_Q7r2,Vir_Q7r3,Vir_Q7r4,Vir_Q7r5,Vir_Q7r6,Vir_Q7r7,Vir_Q7r8,Vir_Q7r9,Vir_Q7r10,Vir_Q7r11,Vir_Q7r12,Vir_Q7r13,Vir_Q7r14,Vir_Q7r15,Vir_Q7r16,Vir_Q7r17,Vir_Q7r18,Vir_Q7r19,D1,D2,D3,D5,QD6,happiness,anxiety
English,52,45-54,45+,Man,,10530,New York,Northeast,Middle Atlantic,Yes,Other,Other,Other,Other,Other,Selected,Latino,9,8,9,0 - not at all,My family makes me very happy,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,"$50,000 - $74,999",Completed college,I work full time,Married,None,9,0
English,65,65+,45+,Man,,77099,Texas,South,West South Central,No,Other,Selected,Other,Other,Other,Other,,7,7,5,6,"being able to do the things I like doing, like laughing, smiling, enjoying myself and helping others when I can",Selected,Selected,Other,Other,Other,Selected,Selected,Selected,Other,Selected,Other,Other,Selected,Other,Other,Selected,Other,Other,Other,"$50,000 - $74,999",Completed college,I work full time,Married,None,5,6
English,65,65+,45+,Woman,,18434,Pennsylvania,Northeast,Middle Atlantic,No,Selected,Other,Other,Other,Other,Other,,7,8,6,3,Being able to get up every morning and get my work done and not have any issues. It makes me happy that I am able to put food on my table and pay my bills without struggling.,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Selected,Other,Selected,Other,Other,Other,Other,Other,"$50,000 - $74,999",Some college,I work full time,Married,None,6,3
English,75,65+,45+,Woman,,48707,Michigan,Midwest,East North Central,No,Selected,Other,Other,Other,Other,Other,,7,8,9,5,"I am a widow living alone.     However, the things that make me happy are playing with my dog, playing classic rock 'n roll on my electric guitar, texting friends, spending time with my significant other, as well as seeing family members.  I also read a lot.",Selected,Selected,Other,Selected,Other,Selected,Selected,Other,Other,Selected,Other,Selected,Other,Other,Other,Selected,Other,Other,Other,"$25,000 - $49,999",Some college,I am retired,Widowed,None,9,5
English,60,55-64,45+,Woman,,98148,Washington,West,Pacific,No,Selected,Other,Other,Other,Other,Other,,6,7,6,4,Gardening flowers/vegetables  Dogs/cats. Spending time with and grooming  Crafts  Video games,Selected,Selected,Selected,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Selected,Other,Selected,Selected,Other,Other,Other,"$25,000 - $49,999",Completed college,I am retired,Separate or divorced,None,6,4
English,63,55-64,45+,Woman,,60707,Illinois,Midwest,East North Central,No,Selected,Other,Other,Other,Other,Other,,6,10 - completely,9,3,"These day with the news it’s hard to be happy but taking that away just a satisfaction of family, friends that you love in your lives, a purpose to your life, doing good for others.",Selected,Selected,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Selected,Selected,Other,Selected,Selected,Other,Other,Other,"$75,000 - $99,999",Trade/technical school,I work part time,"Single, never been married",None,9,3
English,66,65+,45+,Man,,75932,Texas,South,West South Central,No,Selected,Other,Other,Other,Other,Other,,4,4,5,4,seeing if we can get trough one day with out anyone killing some one,Selected,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,"Up to $24,999",Completed high school,I am retired,Married,None,5,4
English,89,65+,45+,Woman,,98801,Washington,West,Pacific,No,Selected,Other,Other,Other,Other,Other,,9,7,9,0 - not at all,I have friends as well as family and my health is fairly good.,Selected,Selected,Other,Other,Selected,Other,Other,Other,Other,Selected,Other,Selected,Selected,Other,Selected,Other,Other,Other,Other,"$50,000 - $74,999",Some college,I am retired,Widowed,None,9,0
English,28,25-34,<45,Woman,,20785,Maryland,South,South Atlantic,No,Other,Selected,Other,Other,Other,Other,,0 - not at all,0 - not at all,0 - not at all,10 - completely,Life in my control,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,"Up to $24,999",Some college,I am unemployed,"Single, never been married",None,0,10
English,31,25-34,<45,Man,,27560,North Carolina,South,South Atlantic,No,Other,Other,Selected,Other,Other,Other,,6,6,8,5,Family and friends,Selected,Selected,Other,Other,Selected,Other,Selected,Other,Other,Selected,Other,Selected,Selected,Other,Other,Selected,Other,Other,Other,"$100,000 - $149,999",Completed college,I work full time,"Single, never been married",None,8,5
English,51,45-54,45+,Woman,,21215,Maryland,South,South Atlantic,No,Other,Selected,Other,Other,Other,Other,,8,9,8,2,Life in general makes me happy,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,"Up to $24,999",Some college,I work part time,Married,None,8,2
English,63,55-64,45+,Woman,,92507,California,West,Pacific,Yes,Selected,Other,Other,Other,Other,Other,,5,7,4,7,My kids and my grand daughter,Selected,Selected,Other,Selected,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Selected,Other,Other,Other,Other,Other,"Up to $24,999",Completed college,I am retired,Widowed,None,4,7
English,42,35-44,<45,Man,,94010,California,West,Pacific,No,Other,Other,Selected,Other,Other,Other,,4,4,3,3,I like cars and modifying them to make them look unique.,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Selected,Other,Other,Selected,Other,Other,Other,"$50,000 - $74,999",Completed college,I work full time,"Single, never been married",None,3,3
English,59,55-64,45+,Woman,,30315,Georgia,South,South Atlantic,No,Other,Selected,Other,Other,Other,Other,,5,10 - completely,8,0 - not at all,What makes me happy us talking to my best friend,Other,Selected,Selected,Other,Other,Selected,Selected,Other,Other,Selected,Other,Other,Selected,Other,Selected,Selected,Other,Other,Other,"Up to $24,999",Some college,I am unemployed,Separate or divorced,None,8,0
English,71,65+,45+,Woman,,94607,California,West,Pacific,No,Other,Other,Selected,Other,Other,Other,,9,9,9,1,My brother calls me makes me happy.,Other,Selected,Other,Other,Selected,Selected,Selected,Other,Selected,Selected,Other,Other,Selected,Other,Other,Other,Other,Other,Other,"$25,000 - $49,999",Completed college,I am retired,Separate or divorced,None,9,1
English,65,65+,45+,Man,,36117,Alabama,South,East South Central,No,Selected,Other,Other,Other,Other,Other,,7,9,7,4,"Each day we get closer to election day, and we put a stop to the people running things, I am happier than the day before.",Selected,Selected,Other,Other,Other,Other,Selected,Other,Other,Selected,Other,Selected,Selected,Other,Other,Other,Other,Other,Other,"$100,000 - $149,999",Graduate degree,I am retired,Married,None,7,4
English,51,45-54,45+,Man,,77007,Texas,South,West South Central,Yes,Selected,Other,Other,Other,Other,Other,,7,6,7,0 - not at all,"My dog, my family, good food and good wine.",Selected,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Selected,Other,Selected,Other,Other,Other,Other,"$75,000 - $99,999",Completed college,I work full time,Separate or divorced,None,7,0
English,66,65+,45+,Woman,,20910,Maryland,South,South Atlantic,No,Other,Selected,Other,Other,Other,Other,,9,9,10 - completely,0 - not at all,Living my life everyday.,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,"$25,000 - $49,999",Completed high school,I am retired,Living with a partner,None,10,0
English,34,25-34,<45,Woman,,94085,California,West,Pacific,No,Other,Other,Selected,Other,Other,Other,,8,8,8,4,Spend time with my significant other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,"$150,000 or greater",Graduate degree,I work full time,"Single, never been married",None,8,4
English,33,25-34,<45,Woman,,7932,New Jersey,Northeast,Middle Atlantic,Yes,Other,Selected,Other,Other,Other,Other,,8,8,7,4,"My family makes me happy, food, being outside on a beautiful day when the sun is shining.",Selected,Selected,Other,Other,Other,Other,Selected,Other,Selected,Other,Other,Other,Selected,Other,Other,Selected,Other,Other,Other,"$75,000 - $99,999",Completed college,I am a stay-at-home mom/dad,Married,1,7,4
English,41,35-44,<45,Man,,11225,New York,Northeast,Middle Atlantic,No,Other,Other,Selected,Other,Other,Other,,8,7,4,5,"The school shooting on the news is keeping me from it. In addition, the posts on social media indicating that the police went into save their own children but let 19 others die. In general, I like to meet up with friends and go out, talk to family, attend bbqs, etc. but COVID has also prevented that over the last 2 years.",Selected,Selected,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Selected,Other,Other,Other,"$50,000 - $74,999",Completed college,I work full time,Married,None,4,5
English,64,55-64,45+,Man,,94134,California,West,Pacific,No,Other,Other,Selected,Other,Other,Other,,7,7,7,4,i am healthy and have a job,Other,Other,Other,Other,Selected,Selected,Other,Other,Other,Selected,Other,Other,Selected,Other,Selected,Selected,Other,Other,Other,"$75,000 - $99,999",Graduate degree,I work full time,Married,1,7,4
English,46,45-54,45+,Man,,32819,Florida,South,South Atlantic,No,Other,Selected,Other,Other,Other,Other,,9,9,9,0 - not at all,Bring alive and healthy.,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Selected,Other,Other,Selected,Other,Selected,Other,"$50,000 - $74,999",Completed college,I work full time,"Single, never been married",None,9,0
English,36,35-44,<45,Woman,,38356,Tennessee,South,East South Central,No,Other,Selected,Other,Other,Other,Other,,4,7,7,6,Being with my friends and family,Selected,Other,Other,Other,Other,Selected,Other,Other,Other,Selected,Other,Selected,Other,Other,Other,Other,Other,Selected,Other,"Up to $24,999",Completed college,I work full time,"Single, never been married",None,7,6
English,41,35-44,<45,Man,,8036,New Jersey,Northeast,Middle Atlantic,No,Other,Other,Selected,Other,Other,Other,,8,9,9,1,Being with family and spending time with them makes me happy,Selected,Selected,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Selected,Selected,Other,Selected,Selected,Other,Other,Other,"$100,000 - $149,999",Graduate degree,I work full time,Married,1,9,1
English,63,55-64,45+,Woman,,23321,Virginia,South,South Atlantic,Yes,Selected,Other,Other,Other,Other,Other,,3,3,4,3,"Watching a good movie, drinking a tasty drink, did I love that sometimes prepared for me, enjoying a concert, swimming, walking on a deserted beach.",Other,Selected,Other,Other,Other,Other,Other,Other,Selected,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,"$75,000 - $99,999",Completed college,I work full time,"Single, never been married",None,4,3
English,43,35-44,<45,Woman,,78258,Texas,South,West South Central,Yes,Selected,Other,Other,Other,Other,Other,,8,8,9,8,"My children, no debt good health",Other,Selected,Other,Other,Other,Other,Other,Other,Selected,Selected,Selected,Other,Selected,Other,Other,Other,Other,Selected,Other,"$100,000 - $149,999",Graduate degree,I am a stay-at-home mom/dad,Married,1,9,8
English,46,45-54,45+,Woman,,30452,Georgia,South,South Atlantic,No,Other,Selected,Other,Other,Other,Other,,2,0 - not at all,4,5,seeing other people happy,Other,Selected,Other,Other,Selected,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,"Up to $24,999",Some college,I am unemployed,"Single, never been married",None,4,5
English,23,18-24,<45,Woman,,22801,Virginia,South,South Atlantic,Yes,Other,Other,Selected,Other,Other,Other,,6,6,3,8,"it doesn't take much. eating, ice cream, sunny days, cool climates, walks in new places, visiting new cities, seeing my family",Selected,Selected,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Selected,Other,"$100,000 - $149,999",Completed college,I am unemployed,"Single, never been married",None,3,8
English,66,65+,45+,Man,,73013,Oklahoma,South,West South Central,No,Other,Other,Selected,Other,Other,Other,,5,6,6,4,"did meditation yesterday, also have a good dinner",Selected,Other,Selected,Other,Selected,Other,Other,Selected,Other,Selected,Other,Other,Selected,Other,Other,Other,Other,Other,Other,"$25,000 - $49,999",Graduate degree,I work full time,Married,None,6,4
English,84,65+,45+,Woman,,34986,Florida,South,South Atlantic,No,Selected,Other,Other,Other,Other,Other,,9,10 - completely,9,3,I love being with my family and creating new memories,Selected,Other,Selected,Other,Selected,Selected,Selected,Other,Other,Selected,Other,Selected,Selected,Other,Other,Selected,Other,Other,Other,"$25,000 - $49,999",Some college,I am retired,Widowed,None,9,3
English,23,18-24,<45,Woman,,60446,Illinois,Midwest,East North Central,No,Other,Selected,Other,Other,Other,Other,,7,7,7,10 - completely,I think creating new experiences with the people that I’m closest with,Selected,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Selected,Other,"$25,000 - $49,999",Completed college,I work full time,"Single, never been married",None,7,10
English,40,35-44,<45,Woman,,74008,Oklahoma,South,West South Central,No,Other,Other,Selected,Other,Other,Other,,2,2,5,5,The price would get lower for everything.,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,"Up to $24,999",Completed college,I am a stay-at-home mom/dad,Married,2,5,5
English,22,18-24,<45,Woman,,91792,California,West,Pacific,No,Other,Other,Selected,Other,Other,Other,,10 - completely,9,10 - completely,2,listening to music and eating,Selected,Selected,Other,Other,Selected,Selected,Selected,Other,Selected,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,"Up to $24,999",Completed college,I work part time,"Single, never been married",None,10,2
English,36,35-44,<45,Man,,90260,California,West,Pacific,Yes,Other,Other,Other,Other,Selected,Other,,7,8,8,8,"my family, my hobbies, money",Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,"$100,000 - $149,999",Some college,I work full time,Married,2,8,8
English,73,65+,45+,Woman,,32137,Florida,South,South Atlantic,No,Other,Selected,Other,Other,Other,Other,,7,8,8,4,"peace of mind, sharing love with family and a good relationship with my spouse",Selected,Selected,Selected,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,"$50,000 - $74,999",Some college,I am retired,Married,None,8,4
English,26,25-34,<45,"Non-binary (e.g. genderqueer, genderfluid)",,37127,Tennessee,South,East South Central,No,Selected,Other,Other,Other,Other,Other,,7,7,8,6,"My friends and being able to do my hobbies like knitting, crocheting, drawing, and painting.",Selected,Selected,Other,Other,Other,Other,Selected,Other,Other,Selected,Other,Other,Selected,Other,Other,Selected,Other,Selected,Other,"$100,000 - $149,999",Completed high school,I am unemployed,"Single, never been married",None,8,6
English,46,45-54,45+,Woman,,98118,Washington,West,Pacific,No,Other,Other,Selected,Other,Other,Other,,6,6,7,2,My family and everyone is healthy.,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,"$50,000 - $74,999",Some college,I am a stay-at-home mom/dad,Married,None,7,2
English,40,35-44,<45,Man,,11357,New York,Northeast,Middle Atlantic,Yes,Other,Other,Other,Other,Other,Selected,Latino,9,9,8,9,this is easy for me to help it happy,Other,Other,Other,Selected,Selected,Other,Other,Other,Other,Selected,Other,Selected,Selected,Other,Selected,Other,Other,Selected,Other,"$100,000 - $149,999",Graduate degree,I work full time,Married,3,8,9
English,58,55-64,45+,Man,,28301,North Carolina,South,South Atlantic,No,Other,Selected,Other,Other,Other,Other,,8,10 - completely,10 - completely,0 - not at all,BEING WELL BALANCED  MAKES ME A HAPPY PERSON,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,"Up to $24,999",Some college,I am unemployed,"Single, never been married",None,10,0
English,53,45-54,45+,Woman,,2883,Rhode Island,Northeast,New England,No,Selected,Other,Other,Other,Other,Other,,8,8,8,2,"Friends. Family, and pets",Selected,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Selected,Selected,Other,Other,Other,"$100,000 - $149,999",Completed college,I work part time,Married,None,8,2
English,24,18-24,<45,"Non-binary (e.g. genderqueer, genderfluid)",,76131,Texas,South,West South Central,No,Selected,Other,Other,Other,Other,Other,,3,2,3,7,My pets and reading being with friends,Other,Selected,Other,Selected,Other,Other,Selected,Other,Other,Selected,Other,Other,Selected,Other,Other,Other,Other,Other,Other,"$50,000 - $74,999",Some college,I am unemployed,"Single, never been married",None,3,7
English,57,55-64,45+,Man,,47711,Indiana,Midwest,East North Central,No,Selected,Other,Other,Other,Other,Other,,8,7,5,5,When everyone around me is healthy and life is going well.,Selected,Selected,Other,Other,Selected,Selected,Other,Other,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,"$75,000 - $99,999",Completed college,I work full time,Separate or divorced,1,5,5
English,54,45-54,45+,Woman,,14612,New York,Northeast,Middle Atlantic,No,Selected,Other,Other,Other,Other,Other,,9,10 - completely,9,0 - not at all,"My family, my dog, helping at food pantry, travel, and shopping",Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Selected,Other,Other,Other,Other,Other,Other,"$150,000 or greater",Graduate degree,I am a stay-at-home mom/dad,Married,1,9,0
English,70,65+,45+,Woman,,33446,Florida,South,South Atlantic,No,Selected,Other,Other,Other,Other,Other,,2,6,2,3,Being with the person I love doing anything,Other,Selected,Selected,Other,Other,Selected,Other,Other,Other,Selected,Other,Selected,Selected,Other,Other,Other,Other,Other,Other,"$25,000 - $49,999",Completed college,I am unemployed,Separate or divorced,None,2,3
English,33,25-34,<45,Man,,37363,Tennessee,South,East South Central,No,Selected,Other,Other,Other,Other,Other,,6,8,10 - completely,5,To feel secure and have good conversations with friends and family.,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Selected,Other,Other,Other,"Up to $24,999",Completed high school,I am unemployed,"Single, never been married",None,10,5
English,21,18-24,<45,Woman,,74301,Oklahoma,South,West South Central,No,Other,Other,Other,Other,Selected,Other,,0 - not at all,1,2,10 - completely,"I'm happy when I'm with friends and out of my house. When I don't have access to that luxury, though, Teddy brings me joy.",Other,Other,Other,Other,Selected,Selected,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Other,"Up to $24,999",Trade/technical school,I work full time,"Single, never been married",None,2,10
English,61,55-64,45+,Woman,,60616,Illinois,Midwest,East North Central,No,Selected,Other,Other,Other,Other,Other,,5,10 - completely,5,0 - not at all,My family my friendss and myself are healthy,Selected,Selected,Selected,Other,Other,Other,Selected,Other,Other,Selected,Other,Other,Other,Other,Other,Other,Other,Other,Other,"Up to $24,999",Completed high school,I work full time,Living with a partner,None,5,0
English,69,65+,45+,Man,,82801,Wyoming,West,Mountain,No,Selected,Other,Other,Other,Other,Other,,7,7,8,3,Being with my family.,Other,Other,Other,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Selected,Other,Selected,Selected,Other,Other,Other,"Up to $24,999",Completed high school,I am retired,Separate or divorced,None,8,3
English,69,65+,45+,Woman,,67870,Kansas,Midwest,West North Central,No,Selected,Other,Other,Other,Other,Other,,9,9,8,1,"My family, my faith, my friends and my cat.",Selected,Selected,Other,Other,Selected,Selected,Other,Other,Other,Other,Other,Other,Selected,Other,Other,Selected,Other,Other,Other,"$75,000 - $99,999",Completed college,I am retired,Married,None,8,1
